"position","title","artists","duration","inferred_source_style","inferred_mood","inferred_energy","inferred_tempo_band","metal_conversion_direction","lyric_theme_direction","suno_prompt"
1,"Whiskey Lullaby (feat. Alison Krauss)","Brad Paisley, Alison Krauss","04:19","Title/artist-informed creative inference: country duet ballad","Title/artist-informed creative inference: mournful and intimate","Title/artist-informed creative inference: low, slow-burn","Title/artist-informed creative inference: slow-feel; no measured BPM","Gothic doom-country with clean arpeggios, tolling low guitars, restrained drums, and a crushing final chorus.","Title/artist-informed creative inference: grief, memory, and consequences; write entirely new lyrics.","Original gothic doom-country duet, slow-feel, clean baritone guitar opening, distant pedal-steel color, low-tuned guitars entering after verse one, restrained male/female call-and-response, huge final chorus, lyrics about two people haunted by a choice; no quoted lyrics or artist imitation."
2,"Five Dollar Fine","Chris LeDoux","03:40","Title/artist-informed creative inference: honky-tonk novelty country","Title/artist-informed creative inference: mischievous and rowdy","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Barroom speed metal with shuffle-inflected drums, gang shouts, and a compact twin-guitar break.","Title/artist-informed creative inference: comic rules, small penalties, and escalating trouble; write entirely new lyrics.","Original barroom speed-metal song with a brisk shuffle feel, palm-muted verses, shouted group responses, a concise twin-guitar solo, and a humorous story about a tiny house rule causing an expensive night; keep the hook new and avoid artist references."
3,"Copenhagen","Chris LeDoux","01:58","Title/artist-informed creative inference: short cowboy novelty country","Title/artist-informed creative inference: cheeky and rough-edged","Title/artist-informed creative inference: high","Title/artist-informed creative inference: fast-feel; no measured BPM","Short crossover-thrash burst with galloping bass, dry snare, and an abrupt stop.","Title/artist-informed creative inference: road habit, bravado, and comic regret; write entirely new lyrics.","Original sub-two-minute crossover-thrash sprint, fast-feel, galloping bass, dry drums, barked verses, one eight-bar solo, and an abrupt ending; lyrics tell a fresh comic road story about swagger turning into regret, without quoting any existing song."
4,"Under This Old Hat","Chris LeDoux","02:32","Title/artist-informed creative inference: traditional western country","Title/artist-informed creative inference: weathered and reflective","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Dusty stoner metal with open-string riffs, roomy toms, and a melodic lift in the chorus.","Title/artist-informed creative inference: hidden history, endurance, and earned identity; write entirely new lyrics.","Original dusty stoner-metal narrative, mid-tempo feel, open-string guitar riff, roomy toms, warm bass, gravelly clean vocal, and a melodic chorus; new lyrics reveal the unseen years carried beneath a familiar piece of clothing."
5,"Copenhagen Angel","Chris LeDoux","02:38","Title/artist-informed creative inference: western country romance","Title/artist-informed creative inference: yearning with a playful edge","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Melodic heavy metal with chiming clean verses, harmonized leads, and a bright double-time finale.","Title/artist-informed creative inference: an elusive road romance and idealized memory; write entirely new lyrics.","Original melodic heavy-metal road romance, mid-tempo verses with chiming clean guitars, harmonized lead motif, firm snare backbeat, clear vocal, and a bright double-time final chorus; write a new story about remembering an elusive traveler."
6,"Ring of Fire","Johnny Cash","02:35","Title/artist-informed creative inference: rockabilly-rooted country","Title/artist-informed creative inference: urgent and ominous","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: driving feel; no measured BPM","Groove metal built on a circular riff, floor-tom pulse, and a widening chorus without recreating the source melody.","Title/artist-informed creative inference: dangerous attraction and voluntary descent; write entirely new lyrics.","Original groove-metal song about dangerous attraction, driving feel, circular low-guitar riff, floor-tom pulse, tense half-sung verses, and a widening clean chorus; create a wholly new melody and lyric, with no artist imitation."
7,"Some Girls Do","Sawyer Brown","03:13","Title/artist-informed creative inference: upbeat 1990s country-rock","Title/artist-informed creative inference: defiant and flirtatious","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Bright hard-rock metal with punchy power chords, stacked chorus vocals, and a playful lead break.","Title/artist-informed creative inference: confidence, mismatched expectations, and attraction; write entirely new lyrics.","Original bright hard-rock metal anthem, brisk-feel, punchy power chords, lively bass, stacked chorus vocals, and a playful lead-guitar break; new lyrics celebrate refusing someone else's expectations while keeping the tone witty."
8,"Pickup Man","Joe Diffie","03:36","Title/artist-informed creative inference: 1990s country novelty rocker","Title/artist-informed creative inference: playful and swaggering","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Southern groove metal with engine-like chugs, cowbell accents, and a crowd-ready chorus.","Title/artist-informed creative inference: pride in a practical machine and social confidence; write entirely new lyrics.","Original southern groove-metal celebration of a battered work truck, driving feel, engine-like syncopated chugs, cowbell accents, gritty clean vocal, crowd-ready chorus, and a slide-guitar-flavored solo; no borrowed lines or named-artist styling."
9,"Tennessee Whiskey","Chris Stapleton","04:53","Title/artist-informed creative inference: country-soul ballad","Title/artist-informed creative inference: smoky, tender, and redemptive","Title/artist-informed creative inference: low to medium","Title/artist-informed creative inference: slow-feel; no measured BPM","Blues-doom metal with spacious drums, sustained low chords, expressive bends, and a cathartic chorus.","Title/artist-informed creative inference: love as rescue from self-destruction; write entirely new lyrics.","Original blues-doom metal ballad, slow-feel, spacious drums, sustained low chords, expressive guitar bends, soulful clean vocal, and a cathartic final chorus; write new lyrics about finding steadiness after years of self-sabotage."
10,"Riding For A Fall","Chris LeDoux","03:31","Title/artist-informed creative inference: cowboy country narrative","Title/artist-informed creative inference: restless and cautionary","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Melodic western heavy metal with galloping rhythm guitars, wind-swept clean breaks, and a warning-hook chorus.","Title/artist-informed creative inference: reckless momentum and ignored warnings; write entirely new lyrics.","Original western heavy-metal cautionary tale, mid-tempo gallop, wind-swept clean-guitar breaks, muscular bass, clear narrative vocal, and a warning-hook chorus; fresh lyrics follow a rider who mistakes momentum for control."
11,"Friends In Low Places","The Sounds Of Garth Brooks","03:51","Title/artist-informed creative inference: country barroom singalong","Title/artist-informed creative inference: communal, bruised, and humorous","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Folk metal pub anthem with stomping drums, rough gang vocals, and an original descending chorus.","Title/artist-informed creative inference: rejection answered by loyal outsider community; write entirely new lyrics.","Original folk-metal pub anthem, stomping mid-tempo rhythm, acoustic strums under distorted guitars, rough gang responses, and a new descending chorus; lyrics center on finding loyal company after being turned away from a polished event."
12,"One Bourbon, One Scotch, One Beer","George Thorogood & The Destroyers","08:26","Title/artist-informed creative inference: extended blues-rock barroom jam","Title/artist-informed creative inference: boozy, wry, and escalating","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: slow-to-mid groove feel; no measured BPM","Long-form sludge-blues metal with spoken narrative spaces, riff escalation, and two contrasting solos.","Title/artist-informed creative inference: mounting problems narrated through a night out; write entirely new lyrics.","Original long-form sludge-blues metal narrative, slow-to-mid groove, spoken-sung verses, grimy bass, riff escalation across three sections, and two contrasting guitar solos; create a new night-out story where each bad decision compounds the last."
13,"I'm Gonna Miss Her","Brad Paisley","03:14","Title/artist-informed creative inference: country comedy song","Title/artist-informed creative inference: playful and self-aware","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Comedy power metal with heroic drums, exaggerated harmonies, and a deliberately overblown solo.","Title/artist-informed creative inference: absurd priorities tested by an ultimatum; write entirely new lyrics.","Original comedy power-metal track, brisk-feel, heroic drums, bright twin leads, theatrical clean vocal, and an intentionally overblown solo; new lyrics follow someone choosing an embarrassingly trivial obsession over a dramatic ultimatum."
14,"I'm Still a Guy","Brad Paisley","04:11","Title/artist-informed creative inference: contemporary country humor","Title/artist-informed creative inference: self-mocking and stubborn","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Groove metal with stop-start riffs, conversational verses, and a self-deprecating clean chorus.","Title/artist-informed creative inference: identity, changing norms, and comic self-examination; write entirely new lyrics.","Original self-deprecating groove-metal song, mid-tempo stop-start riff, conversational verses, tight drums, and a clean chorus that turns bravado into self-awareness; write fresh lyrics about adapting without pretending to be perfect."
15,"Should've Been A Cowboy","Toby Keith","03:28","Title/artist-informed creative inference: modern cowboy country anthem","Title/artist-informed creative inference: nostalgic and adventurous","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: driving feel; no measured BPM","Western power metal with galloping riffs, widescreen chorus chords, and a frontier-themed instrumental bridge.","Title/artist-informed creative inference: alternate lives, frontier dreams, and missed adventure; write entirely new lyrics.","Original western power-metal anthem, driving gallop, widescreen chorus chords, ringing lead motif, commanding clean vocal, and a cinematic frontier bridge; new lyrics imagine the road not taken and the life that might have followed."
16,"I Love This Bar","Toby Keith","05:35","Title/artist-informed creative inference: barroom country anthem","Title/artist-informed creative inference: welcoming and celebratory","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Stoner-metal tavern anthem with thick riffs, handclaps, organ color, and inclusive gang vocals.","Title/artist-informed creative inference: affection for a flawed gathering place and its regulars; write entirely new lyrics.","Original stoner-metal tavern anthem, thick mid-tempo riff, handclaps, subtle organ color, warm gritty vocal, and inclusive gang chorus; invent a new neighborhood venue and describe its odd regulars without borrowing any existing lyric."
17,"Beer For My Horses","Toby Keith, Willie Nelson","03:24","Title/artist-informed creative inference: outlaw-country duet","Title/artist-informed creative inference: stern and cinematic","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Western thrash metal with galloping riffs, alternating vocals, and a tense half-time bridge.","Title/artist-informed creative inference: rough justice and frontier accountability; write entirely new lyrics without vigilantism advocacy.","Original western thrash-metal duet, driving gallop, dry snare, alternating low and high clean vocals, tense half-time bridge, and sharp twin-lead ending; tell a new fictional frontier story focused on lawful accountability rather than copied slogans."
18,"Write This Down","George Strait","03:39","Title/artist-informed creative inference: traditional country love song","Title/artist-informed creative inference: earnest and gently insistent","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Melodic heavy-metal power ballad with clean verses, lifting pre-chorus, and harmonized guitar replies.","Title/artist-informed creative inference: preserving an important promise in plain language; write entirely new lyrics.","Original melodic heavy-metal power ballad, mid-tempo feel, clean picked verses, lifting pre-chorus, harmonized guitar replies, and an earnest chorus; fresh lyrics ask someone to preserve a promise before memory changes it."
19,"Mamas Don't Let Your Babies Grow Up to Be Cowboys","Willie Nelson","03:26","Title/artist-informed creative inference: outlaw-country warning song","Title/artist-informed creative inference: affectionate and cautionary","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: relaxed mid-tempo feel; no measured BPM","Folk-doom metal with acoustic opening, low choral refrain, and heavy slow-gallop choruses.","Title/artist-informed creative inference: the cost of romanticizing a hard roaming life; write entirely new lyrics.","Original folk-doom warning song, relaxed acoustic opening, low choral refrain, heavy slow-gallop choruses, and mournful lead guitar; write new lyrics from an elder cautioning against glamorizing a lonely profession."
20,"The Taliban Song - Live","Toby Keith","03:58","Title/artist-informed creative inference: live country topical comedy","Title/artist-informed creative inference: confrontational and satirical","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk live feel; no measured BPM","Live-feel thrash metal with crowd noise, clipped riffs, and a satire-forward chorus that avoids targeting protected groups.","Title/artist-informed creative inference: topical satire about violent extremism; write entirely new, non-hateful lyrics.","Original live-feel thrash-metal satire, brisk pulse, clipped riffs, audible room energy, shouted but intelligible chorus, and a short chaotic solo; target violent extremism and propaganda as ideas, not ethnicities or religions, using entirely new lyrics."
21,"It's Five O'Clock Somewhere","Alan Jackson, Jimmy Buffett","03:50","Title/artist-informed creative inference: tropical country duet","Title/artist-informed creative inference: escapist and sunny","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: easy mid-tempo feel; no measured BPM","Upbeat island-tinged hard metal with clean syncopation, steel-drum-like guitar harmonics, and a heavy chorus.","Title/artist-informed creative inference: taking a sanctioned break from routine; write entirely new lyrics.","Original upbeat island-tinged hard-metal duet, easy mid-tempo groove, clean syncopated verses, guitar harmonics suggesting bright percussion, heavy singalong chorus, and a melodic solo; new lyrics justify one small escape from an exhausting day."
22,"Family Tradition","Hank Williams, Jr.","04:02","Title/artist-informed creative inference: outlaw-country anthem","Title/artist-informed creative inference: defiant and autobiographical","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Southern metal with bluesy chugs, call-and-response vocals, and a proud but conflicted chorus.","Title/artist-informed creative inference: inherited habits versus self-defined identity; write entirely new lyrics.","Original southern-metal autobiography, driving mid-tempo bluesy chugs, call-and-response backing voices, gritty lead vocal, and a proud but conflicted chorus; fresh lyrics weigh inherited habits against the choice to define oneself."
